POLI DIAZ BOXEO passwords:

an example:
à=0 á=1 x=2 ë=3 î=4 ì=5 ç=6 n=7 t=8 æ=9
FILA    B   0624
COLUMNA 5

A.1. 6625   F.1. 6620   L.7. 4862   Q.7. 4867
A.2. 8749   F.2. 8744   L.8. 6986   Q.8. 6981
A.3. 0863   F.3. 0868   L.9. 8000   Q.9. 8005
A.4. 2987   F.4. 2982   M.1. 8861   R.1. 8866
A.5. 4001   F.5. 4006   M.2. 0985   R.2. 0980
A.6. 6125   F.6. 6120   M.3. 2009   R.3. 2004
A.7. 8249   F.7. 8244   M.4. 4123   R.4. 4128
A.8. 0363   F.8. 0368   M.5. 6247   R.5. 6242
A.9. 2487   F.9. 2482   M.6. 8361   R.6. 8366
B.1. 2248   G.1. 2243   M.7. 0485   R.7. 0480
B.2. 4362   G.2. 4367   M.8. 2509   R.8. 2504
B.3. 6486   G.3. 6481   M.9. 4623   R.9. 4628
B.4. 8500   G.4. 8505   N.1. 4484   S.1. 4489
B.5. 0624   G.5. 0629   N.2. 6508   S.2. 6503
B.6. 2748   G.6. 2743   N.3. 8622   S.3. 8627
B.7. 4862   G.7. 4867   N.4. 0746   S.4. 0741
B.8. 6986   G.8. 6981   N.5. 2860   S.5. 2865
B.9. 8000   G.9. 8005   N.6. 4984   S.6. 4989
C.1. 8861   H.1. 8866   N.7. 6008   S.7. 6003
C.2. 0985   H.2. 0980   N.8. 8122   S.8. 8127
C.3. 2009   H.3. 2004   N.9. 0246   S.9. 0241
C.4. 4123   H.4. 4128   O.1. 0007   T.1. 0002
C.5. 6247   H.5. 6242   O.2. 2121   T.2. 2126
C.6. 8361   H.6. 8366   O.3. 4245   T.3. 4240
C.7. 0485   H.7. 0480   O.4. 6369   T.4. 6364
C.8. 2509   H.8. 2504   O.5. 8483   T.5. 8488
C.9. 4623   H.9. 4628   O.6. 0507   T.6. 0502
D.1. 4484   I.1. 4489   O.7. 2621   T.7. 2626
D.2. 6508   I.2. 6503   O.8. 4745   T.8. 4740
D.3. 8622   I.3. 8627   O.9. 6869   T.9. 6864
D.4. 0746   I.4. 0741   U.1. 6625   U.2. 8749
D.5. 2860   I.5. 2865   U.3. 0863   U.4. 2987
D.6. 4984   I.6. 4989   U.5. 4001   U.6. 6125
D.7. 6008   I.7. 6003   U.7. 8249   U.8. 0363
D.8. 8122   I.8. 8127   U.9. 2487
D.9. 0246   I.9. 0241   V.1. 2248   V.2. 4362
E.1. 0007   J.1. 0002   V.3. 6486   V.4. 8500
E.2. 2121   J.2. 2126   V.5. 0624   V.6. 2748
E.3. 4245   J.3. 4240   V.7. 4862   V.8. 6986
E.4. 6369   J.4. 6364   V.9. 8000
E.5. 8483   J.5. 8488   W.1. 8861   W.2. 0985
E.6. 0507   J.6. 0502   W.3. 2009   W.4. 4123
E.7. 2621   J.7. 2626   W.5. 6247   W.6. 8361
E.8. 4745   J.8. 4740   W.7. 0485   W.8. 2509
E.9. 6869   J.9. 6864   W.9. 4623
K.1. 6625   P.1. 6620   X.1. 4484   X.2. 6508
K.2. 8749   P.2. 8744   X.3. 8622   X.4. 0746
K.3. 0863   P.3. 0868   X.5. 2860   X.6. 4984
K.4. 2987   P.4. 2982   X.7. 6008   X.8. 8122
K.5. 4001   P.5. 4006   X.9. 0246
K.6. 6125   P.6. 6120   Y.1. 0007   Y.2. 2121
K.7. 8249   P.7. 8244   Y.3. 4245   Y.4. 6369
K.8. 0363   P.8. 0368   Y.5. 8483   Y.6. 0507
K.9. 2487   P.9. 2482   Y.7. 2621   Y.8. 4745
L.1. 2248   Q.1. 2243   Y.9. 6869
L.2. 4362   Q.2. 4367   Z.1. 6620   Z.2. 8744
L.3. 6486   Q.3. 6481   Z.3. 0868   Z.4. 2982
L.4. 8500   Q.4. 8505   Z.5. 4006   Z.6. 6120
L.5. 0624   Q.5. 0629   Z.7. 8244   Z.8. 0368
L.6. 2748   Q.6. 2743   Z.9. 2482


